,index,Full_name,class
164,1292,عون مجيد نادر,T
165,1122,نهال عليم صلاحالدين,T
166,4190,ضساق مغأأ وبؤربؤ,F
167,464,بشيره نسيب مارسيل,T
168,3343,سندت جاؤر عائلط,F
169,3574,مصحتؤسااه قاسله,F
170,5559,عفيف اضسر رفيق,F
171,2416,فرح حمدان رفعت,T
172,5503,احعج اجاويد ساجر,F
173,5028,نعقدضنريوس هحثر,F
174,4448,منتصر عبدالحليم ترهر,F
175,5296,رضا ناصفهبلال,F
176,3519,اميشب اظزنصإدش,F
177,2094,يعقوب غيث زكريا,T
178,4819,ذبجاإف إبدؤلحي طؤاد,F
179,2284,لباب مسفر عبدالحفيظ,T
180,4976,متدصحو كنحن ةإئع,F
181,1537,نعيم ساجع خازن,T
182,1550,غريبه فائز باسق,T
183,635,جيداء عمرو ضاري,T
184,5131,مقويض هلرقمحقكبن,F
185,537,نوح حزام قادر,T
186,1926,كريم فهد رافت,T
187,5632,غناآ نقهوءغرثث,F
188,1105,نوره اخضر مجيب,T
189,2392,عبدربه حمزه ربيح,T
190,1137,عبدالودود عامر نجيب,T
191,2974,ميرا عاطف حسن,T
192,3302,مرغدة سلطونلمزتجءو,F
193,1541,نعمان مجير فارض,T
194,4103,اهذاف عغفا شضبها,F
195,3962,ابتهام ستيؤ ةئئبب,F
196,3376,الآوري ساسن راغد,F
197,3872,صظطب ئؤسمبردنف,F
198,2948,العابدين بندر حمدان,T
199,4356,سءاد منقذ محسن,F
200,5915,زاهد قابوق مصعبؤ,F
201,2787,ضاري غضنفر ساعف,T
202,2637,حليمه راغد فائق,T
203,5138,صديغ متير عبلطوفليل,F
204,4376,ديمهظحقر عودالششيد,F
205,3819,شميدغوةيع وبدأأولي,F
206,3580,خزدنهذئذد صصاح,F
207,3796,انيسف رايفثظغاء,F
208,2727,عفان شمسالدين تقي,T
209,27,مستور صادح رافد,T
210,577,بشير معتصم معروف,T
211,1619,راقيه ربيح عبدالوهاب,T
212,4875,رائم خزعل سزشة,F
213,1694,عجرم حزام ضاوي,T
214,1009,افتكار ناجي صبيح,T
215,3016,غسلبأمعآردؤضيرأ,F
216,4612,ظإيهءنعوانةلضتالدغا,F
217,1952,طاهر براء مطاوع,T
218,2640,دعجاء عبدالحي سيف,T
219,1901,هود شاكر عابد,T
220,701,اعسر بدر ضاهر,T
221,553,رجيحه مقرن هاني,T
222,112,خزنه حجاب اسمر,T
223,5626,عماره صظاف نضال,F
224,5847,بصيعلفإوه ضضسك,F
225,1778,عبدالصمد زاهد دغيم,T
226,5585,معروف وسد رمالئ,F
227,2909,سجي غضنفر مبخوت,T
228,1617,فتاح عبدالسلام ميمون,T
229,4625,شةصيسرسنعصاعصمجث,F
230,4362,مآسف حلاح مهمب,F
231,5057,فدزغآخاصيفإغسادبح,F
232,3188,نضال مين زدلري,F
233,351,رسمي حواس ظفير,T
234,2910,تغاني ذعار منعم,T
235,314,عبدالمطلب امان مراد,T
236,4929,سمراءحثصار لدلغ,F
237,79,عرفات حنبل وسام,T
238,706,حسنين عقل خطاب,T
239,298,محمد هلال مبخوت,T
240,3717,انيظه جعثئرستاحض,F
241,2699,عذبه جازم فارض,T
242,1776,نرجس ورد كليب,T
243,4306,لؤيتسعيحطتنس,F
244,2369,باسم ادغم جودت,T
245,3377,وعيعق امينجقسففم,F
246,303,جبره صادر رائض,T
247,1711,فصيحه معين اسامه,T
248,1594,عاكف فتيح مبارك,T
249,4070,اثجنرعئآةهؤلطيئ,F
250,3360,بةعيءكجصراآديو منال,F
251,1143,شاكر موفق عبداللطيف,T
252,5192,بباء فآروق نصآآب,F
253,1345,مراد نزيه زاهي,T
254,2170,فارع تيم ضرار,T
255,5260,حيشرندسبج فتزسط,F
256,2031,رشا فرناس ولاءالدين,T
257,1344,فتح جلال حواس,T
258,4613,نثؤي كليب دحام,F
259,4453,ششكررةإبئصذجبتر عتيبث,F
260,3700,شكعدضربظحءمصلح,F
261,3135,نحيطئطآمئغحجاب,F
262,2279,قثم عقله ارقم,T
263,5859,ارغق شذيد نؤير,F
264,106,خزنه مجدي ادريس,T
265,4552,عأغاثبلقم عريرلعاإفي,F
266,3994,عظئضجضهيع دضخد,F
267,5498,ناصحهةناصح ؤنذار,F
268,5376,ميشغه عبدؤسصةوخ عطنه,F
269,674,عياش نوح عبوده,T
270,2290,عكرمه قدامه اصيل,T
271,2631,منذر المثني نذير,T
272,2122,غيداء مدثر زهير,T
273,1501,نظيره عبدالحق فطين,T
274,242,هدي منتصر لباب,T
275,1165,صقر عليان غوث,T
276,189,ثراء معاذ ايوب,T
277,2785,نهيان مجتبي كاسر,T
278,4395,زاهمإتزعحاطدزحزكر,F
279,2319,سعيده ازور بطرس,T
280,3822,مسصصآأحزظله متروخظ,F
281,4501,ننيرك عبدمضثقؤفطيعف,F
282,5303,مننظط أامكظكظذر,F
283,5304,ائام فهيا عفظهصوداأ,F
284,3325,عنترلهغداطخخلق فصة,F
285,5968,قتاشي فلمدنؤدعبدللحميد,F
286,4978,نفصذإ ثشةيآكديل,F
287,640,طموح مجدي شهم,T
288,2894,عبدالظاهر ادعج بكار,T
289,4331,رحصنإبأامهعآسخغرروفف,F
290,3272,سبصع ذعضرثشةوآد,F
291,934,سمر فتحي شريح,T
292,5055,نوار ثرةل قاوآ,F
293,3745,جامط عمار اخطي,F
294,1825,مهيب رجب عكرمه,T
295,3189,ثراء معاذدايوب,F
296,441,ايثار نافع عليم,T
297,4891,مةسنشأباؤءفيالر,F
298,4259,رفمزفعبأالقطلبثذرجه,F
299,3805,مسةبأئصاظعخسيلد,F
300,1828,نعمت مؤيد فاضل,T
301,3901,قرر ثنةع فحاؤ,F
302,2012,ناشر فريج فضيل,T
303,1040,ممدوحه شامخ محرم,T
304,882,فيض احمد فيضي,T
305,1372,مضاوي حسن بشاره,T
306,1437,عليان كامل ناصح,T
307,2946,مدحت عائذ عبدالبصير,T
308,2322,موهبه ضرام شاهد,T
309,615,سميره مساعد ناصرالدين,T
310,185,لماح نصره فارس,T
311,5123,جامعيشايخ مائزل,F
312,4243,خديجه عطاؤ رباحذ,F
313,2168,ديم مقبل كريم,T
314,1538,تالا معاذ اكرم,T
315,4455,العابدلل ربانسكرعنع,F
316,4171,رةاءةبلخضرأنأهي,F
317,3535,مملففهةملذبصإحكرثخ,F
318,3863,شتريهآئهلولآأبرذصرلضذ,F
319,1991,المثني عبدالمطلب عبوده,T
320,5953,ارجواء وغئل طكاآ,F
321,3332,صمةام ؤقماآئصفوآن,F
322,1767,عبدالملك حنبل عريب,T
323,2895,وهب نايف عبدالحق,T
324,2184,يزيد ميثم اسمر,T
325,1504,شاهره عبدالغني مجيد,T
326,4767,عءذازمإك أنحي شظيبت,F
327,5744,فرحات ئبع فةر,F
328,5046,وليزهغؤبفاسمئاق كنسرع,F
329,1607,فلوه سميع رجاء,T
330,938,يزيد عبدالوهاب اشهب,T
331,4030,حمشد فاطف زبداطققوم,F
332,4595,رشحزششكئوفجعثتطلجباي,F
333,4750,رسميه ساكر رهغب,F
334,3726,خولخ خونياهادي,F
335,4242,ولاء العنبدينخطاهر,F
336,1119,عبيده داوود قيس,T
337,3450,سيئ ذيثم هاثذيلم,F
338,2498,ناصحه ناصح انمار,T
339,1815,وفاء صميم عبدالجليل,T
340,1647,مرح رضي عبدالبصير,T
341,5551,غزواب سيار فياض,F
342,868,رامز اخطب تميم,T
343,1302,رحاب ناصرالدين مالك,T
344,5156,حكل سذور غيث,F
345,5680,رفمتذعهفن يرهوس,F
346,1382,سحيم عاكف مقبل,T
347,872,صهيب باسم رديف,T
348,2803,فاتح تغلب سلامه,T
349,1963,دهيم ضرار فلوح,T
350,4828,نعمت مؤيد فاضخ,F
351,2049,زياد فليح جوده,T
352,5339,سلمظئيقإإء ؤصبص,F
353,2783,كاظم رغيب اهيم,T
354,483,روان ابراهيم عجرم,T
355,2792,حكيم رشيد جمعه,T
356,4510,ماهر فتاحفعازم,F
357,2421,مطاعه سراج رجاء,T
358,4379,بارسه راغد بشار,F
359,470,غناء مرحب ذباح,T
360,3815,كذكصه ذناحأرغيدآ,F
361,1734,ناصيف مراد ساجر,T
362,5374,باانلآديج مةنوز,F
363,4061,سبيءحآصةر ئثعظص,F
364,4916,رفأشفتاهض منهلأ,F
365,548,انشراف رائف سرور,T
366,5357,عقيينصلإوغدمنكفبأإ,F
367,4815,وحاء زميمأعبدالصليل,F
368,1,سعدون عمرو عكاشه,T
369,4838,مزةةم اسطب هعديش,F
370,257,رغيب رياض عيضه,T
371,1968,مجدي مظفر مكين,T
372,4955,نصير خويعد عردبإ,F
373,1470,منذر غضنفر ساري,T
374,416,عبداللطيف جمعه خازن,T
375,1020,ابراهيم مجتبي معين,T
376,1571,انسام ايهاب رضوان,T
377,4060,فضلن أرض حغشل,F
378,3983,عضدالشكور نصيفزحافظ,F
379,5504,جتيينضيرععذدذربةقي,F
380,1475,الحبيب صقر تيم,T
381,2035,صادح فاروق فائز,T
382,1553,عصام تقي فهيد,T
383,5259,فدحيئ حعمذجوزز,F
384,4544,غيتالينثءلجعامض,F
385,1829,قتاده ناظم معصوم,T
386,1436,عبدالعليم ساري ملحم,T
387,1051,طارق عكله زكريا,T
388,4278,اشءندريسعبدخلهتديثشجاب,F
389,2327,اغاريد لبيد علاءالدين,T
390,4500,طظبسفسضيعبتيأم,F
391,2877,بهيجه رائف خاتم,T
392,4741,صطالهجضأ ظءآمس,F
393,1092,ناشد مخلد حاشد,T
394,1811,وهبه المثني شمسالدين,T
395,5624,سنفت جشلسإ تؤدنويصأضح,F
396,4469,معدءساعفذنصوح,F
397,3497,اذةجصأهاخنهمنقذ,F
398,4392,اعثظاموبترحنعبدالكفلذئ,F
399,806,امينه مزن وهب,T
400,3030,مئطن زاخإ نقث,F
401,1396,شافع خالص عائض,T
402,690,زهير عبيده لباب,T
403,4826,هبيره رضاسزجأذخ,F
404,3950,خدلصدزملن نضررآ,F
405,1539,عبدالبصير ستار ساعف,T
406,1838,مزاحم اغلب هادي,T
407,150,اشجان عراب ربيح,T
408,3828,اصيل سعير كسستب,F
409,3410,عودافةائطعاةلأم حامي,F
410,1114,ظاهر ساجد ماضي,T
411,3628,رظسحد عايض غاطي,F
412,676,ايثار نوح عوف,T
413,1070,امجد عماره لطيف,T
414,4352,غاده هتدهسلناصحط,F
415,271,عشير عبدالعزيز قدري,T
416,5306,عشدسصظاهر إافع حبدانز,F
417,2518,فادي غوار علي,T
418,3654,نخيم رافجصؤشفةش,F
419,1664,راسخه مرتجي اخزم,T
420,4452,ائبندرت إداد فرحمك,F
421,5581,اكماءضصيويإوجظرس,F
422,2411,مزن رجب رفاعه,T
423,823,طريفه فتحي باسل,T
424,2634,ناجي اغلب رؤوف,T
425,662,حليمه مناع كميت,T
426,2218,راتب عبدالباسط عيضه,T
427,1404,رشيد صهيب عيضه,T
428,1982,عذاري سحيم بطرس,T
429,3455,سايانش أاكظنركنوز,F
430,5784,ايهم عنترفخمشاري,F
431,5065,العنود قسيج متعبي,F
432,555,رفيع ابراهيم معتصم,T
433,5326,شاجس باسطمدبنئو,F
434,2276,معد بكر سمعان,T
435,2167,مظفر جندل عبدالله,T
436,5939,مإخؤسمدثئ فرحان,F
437,92,صلاح راغب مجاهد,T
438,2228,كنده نبيل ارقم,T
439,4786,نطذيفءهزابيفطمل,F
440,3929,ساصدهوطخلك ئعمنب,F
441,2759,راكان طموح بديع,T
442,4341,بجهفئعؤوأ ركيلم,F
443,454,سرمد طارق نظمي,T
444,3363,لبيحءشؤتثكنظيرم,F
445,3494,ولاء بمفاحمغفاؤ,F
446,3242,هدب مرآصرظلباتذ,F
447,5844,سأجدآانمنغهفدق,F
448,2630,مبخوت علي لؤي,T
449,3246,عبمتلهاديةثعآيطختوثهذ,F
450,4529,ايحصشقضام فائقن,F
451,4887,عبرعلشجءدتظبلب ؤمنإه,F
452,5447,مجنوغنظةنهؤراذء,F
453,948,فليح قدري معاد,T
454,3765,اطناص إثظحجشةاخذ,F
455,2697,وهب حنبل ايهم,T
456,822,معطيه حنظله مبرور,T
457,1029,تودد رافي مدحه,T
458,4299,غرخبمرخنب سغقتيإ,F
459,4313,مغهله ءيقوز حسماعيجز,F
460,2365,رفيع منيع نصر,T
461,5246,حثشله غؤعع مسةك,F
462,3031,مناصفعفبوبكر ضارص,F
463,2547,قاهر علي ساجع,T
464,3428,رفجا قبداءدعطكأرنانج,F
465,1980,ضاوي ايمن مناف,T
466,995,نسيب مخلص شاكر,T
467,2244,هبيره داني ثائب,T
468,3555,رفيعماررعهعتغمعتوسه,F
469,2121,رغيب وسام تواب,T
470,5914,نجؤااهاعزت طتشح,F
471,4581,حهتد عجسذضزاير,F
472,815,كامله كنان رغيد,T
473,411,زهيه مبخوت حمد,T
474,4254,الهإوغ سطام مكانخ,F
475,4633,مذتاقلضنقد مرتجيط,F
476,3605,عبدالإفار ازور خويلد,F
477,2423,ممدوح عبدالحميد غالب,T
478,835,بسمه حنبل عمرو,T
479,4126,اسدمطمدنهكوبجمد,F
480,3387,الههكث ابماعيمؤسحجن,F
481,3071,فلصصئايمن مؤحظ,F
482,3289,نذيا أانيزعنجرهو,F
483,5609,ريتاجآرسءيعملواتظ,F
484,5625,غالهصبلقم فليح,F
485,4640,سارك مدحت تليظ,F
486,2680,رفعت وهبه يعقوب,T
487,1509,صارم انعم عبدالعليم,T
488,186,جعفر نصيف مطير,T
489,1244,عاكف قداح تمام,T
490,3531,عاظدح نائل زآيرة,F
491,3938,يةيس عخلكذوصان غشاب,F
492,5144,يائؤظن ظشغةن عهغاذكرذفذ,F
493,4799,سعارطعأدالوفزع نعاج,F
494,1902,موفق قصي ملحم,T
495,478,هانئه امير عبدالحفيظ,T
496,3098,جشسش عتاغتكآعت,F
497,4610,سدمكسطدؤن رزيهل,F
498,4121,امآر آضررئعمسرذ,F
499,4878,سبيعه ذخفهظسقدن,F
500,3602,باسطهعجمال امير,F
501,39,كلاب خازن برد,T
502,2317,باسله مغيره مكتوم,T
503,2858,انسام ضاوي رمضان,T
504,5187,جواد عبدالتبان محسن,F
505,3227,راضي غزران منتصر,F
506,370,بهاء مجير جبران,T
507,3732,لهيفه نسام باشقإ,F
508,2209,تائب اسعد ابراهيم,T
509,4435,فريء دسذغح باجي,F
510,4526,اةزاز مهءدقكومآ,F
511,4733,دانيضشغيب عون,F
512,4995,اسماؤباأذمصنحضدج,F
513,3131,قطاقخ ثءفدرخيظل,F
514,4454,عمار مسإكفباابر,F
515,1775,زايد احمد سفيان,T
516,2087,ساهده رافد شوقي,T
517,3761,نورا ارغدغثابظ,F
518,4457,عممد شيجم فرححت,F
519,2884,وارف فراج نواس,T
520,5282,جوؤغيلبإةسدكري,F
521,4022,كمنلءغسكط كثأإ,F
522,4583,عبدألسزشم عرضلأفرذء,F
523,5561,عةدالقحمذ تهما جتاع,F
524,3731,مني وديع سمعر,F
525,2693,بليغ خباب زايد,T
526,2651,شيلاء سهيل عكرمه,T
527,5828,زيلعقشصئط ئابزر,F
528,3693,عجام مؤيعدهجهو,F
529,1090,قتيبه حماد نضير,T
530,2818,مرح مخلد ناشر,T
531,4462,الؤار ئقغامشداف,F
532,1871,قتاده موفق مطاوع,T
533,2046,وليفه عبدالرزاق كاسر,T
534,5283,ادقاكآافيص عتوح,F
535,3146,كلخب ثائت شماخه,F
536,4186,تواب عآمضتضحادأز,F
537,3747,عبدملودءل ياديءقأيظ,F
538,2025,ساهده فطين عبدالحق,T
539,5098,ابلج مهيرصنجمألييذآ,F
540,5752,غزيل عبدالرقيب رسآل,F
541,2528,ولهانه اوس نشات,T
542,4095,بليغؤ عحثاآإرصطةيو,F
543,3704,ناصفصغخووط ءينكو,F
544,4367,شمقي دعإل عباد,F
545,2426,عزب رافي كاسر,T
546,1577,عارف قسيم عزت,T
547,4334,اخآوكظهذنتءرأ غالح,F
548,2568,ناهل جراح شمر,T
549,26,عاطف رشوان حمدان,T
550,2090,كميت فرج تليد,T
551,5725,راكان عيإرذسلطانم,F
552,819,شديد بديع عبدالحق,T
553,731,مني وديع سمير,T
554,1279,اريج جوده عبدالحليم,T
555,5253,شهيد حيؤن نائل,F
556,669,مفتاح جواد قيس,T
557,1097,ذكيه وديع رابح,T
558,1720,شجن جعفر تواب,T
559,2982,انسام سحيم صادر,T
560,1973,رهام سهيل رغال,T
561,5342,مجتبقلأفوت نبيئ,F
562,3183,مردؤس شبل دشض,F
563,3179,سها عبيك آقجب,F
564,5895,ودض ناجفرزمدهةحض,F
565,2950,رنيم سارح عنبر,T
566,5356,متخيثبككقمحرمإ,F
567,5230,ضاري قبده فوزي,F
568,4219,بتول ميثاد ممدشدح,F
569,2635,اسامه نجدت مصباح,T
570,3358,نذله دهاضهشرأكهز,F
571,1947,كريم مهند جاسم,T
572,4195,وخخوهعمناذنقابجسغ,F
573,1001,نصر نزيه بهجت,T
574,1583,عبدالعزيز عديل فراج,T
575,5708,وضؤيتعكاشه عقا,F
576,5746,معادطسفيئؤ صهةب,F
577,2059,نبيله عوض عكله,T
578,1714,انمار فهيم اشهم,T
579,1508,الجازي ركان هاجد,T
580,1112,كامله زياد حجاج,T
581,3936,صوكةمعلاء مسفر,F
582,3373,ابراهيش نءسه جويك,F
583,4512,مثؤه غبحس صيرذ,F
584,1324,فلوح ايسر مصعب,T
585,5301,داكه ءمفج شظشمآ,F
586,5665,ششيق فوجي اسمر,F
587,1468,يعقوب قاهر قثم,T
588,5675,عجلالبفقتظسمزن حتتوم,F
589,3997,علضلء نأار خوقي,F
590,5134,لثيخزظافر دعثؤ,F
591,3719,مقذبأانئزذإل,F
592,2452,فدوي عزت مساعد,T
593,1563,اسامه مغيره مخلص,T
594,3365,عهيءهزهير كمزل,F
595,5222,معدوصص رءفغءحسجءخ,F
596,2583,غصون شافي هشام,T
597,929,ساميه اخضر اكمل,T
598,4602,ثوبهآظاحركةخلس,F
599,99,كامله منيع نواس,T
600,2793,كوثر رافي اشجع,T
601,272,ساجع اعسر داوود,T
602,5221,عنتر مصعض فليح,F
603,2171,حكيم شمر عصام,T
604,5860,مجيبهتعاكف كمال,F
605,3327,رنتا قصي جرير,F
606,3307,نعا مزذرءعبدأآيمللا,F
607,3170,راجأه ناح سإظءن,F
608,1580,احسان راجح سمير,T
609,4920,بارع سلليعصختزما,F
610,5719,بارزهضدهيد قثم,F
611,402,ثابت مشتاق صادر,T
612,1606,عبدالحميد داني هود,T
613,4247,لضني ضسار راتب,F
614,51,معصومه عائض عبدالجليل,T
615,781,عاكف مجدي صقر,T
616,1957,شروق رئيف عبدالرحيم,T
617,2975,عبدالقيوم زغلول سعود,T
618,86,ريوف مشرف معينالدين,T
619,2519,بانه شمسالدين مكتوم,T
620,712,ايه منذر فتوح,T
621,2997,مرح شيبه ذباح,T
622,5066,اسمي ادذز خفمر,F
623,4430,ناهةه يلققب ءايف,F
624,549,صادح عبدالملك عمر,T
625,3155,زغلول فياةآرغصع,F
626,2175,رباح راجي عدنان,T
627,3937,شبل ةبدالجبالظآاتط,F
628,5981,فجاد ييؤذحمخ,F
629,1693,رشاد داود عبداللطيف,T
630,234,حنشل عبدالمجيد عبدالحق,T
631,5861,ذعار مإيص امخر,F
632,1955,نصير خويلد عريب,T
633,1153,ماهره رجب عمران,T
634,440,رزينه رضا عماد,T
635,4473,رغجحهدإزبرإكغجطو,F
636,4672,عاؤدف سسيصيكيتذك,F
637,1493,غوار صابر اجيد,T
638,1375,فصيحه دهيم حسون,T
639,3117,اسلذم هشام حسني,F
640,969,كاتيا شكور رباح,T
641,1929,سمراء نصار صديق,T
642,1132,نجد مدحت اغلب,T
643,2344,اسمي جليل قاسم,T
644,192,لبني ظافر سعدون,T
645,2047,كاظمه جرير فهيد,T
646,85,هشام نديم عبدو,T
647,320,احلام عبدالبصير وفيق,T
648,2870,عبدالملك مرتضي عطاء,T
649,952,وهبه شكور هجرس,T
650,2419,ورد نمر عراب,T
651,3305,طامحهسعطثان رافي,F
652,514,انيسه ماهر نوفل,T
653,1021,اسرار شكور فخر,T
654,2444,منير حماد لطيف,T
655,4133,بطحتئذءذي حقلل,F
656,4484,رإاح مرءذي ظفاء,F
657,4266,نشات مرشد حكيف,F
658,4119,عبيده ناوود ةيس,F
659,3394,صفيك سؤصتلممايث,F
660,4730,عبدالقيتم اغلبؤسلئط,F
661,4531,نورء نوهلشأغمص,F
662,2830,غيد مديد شافي,T
663,2820,مقبل غضنفر زيدون,T
664,1723,غضنفر مقبل لبيد,T
665,3199,بارزه جدران يائضذ,F
666,2038,مصعب مراد بلال,T
667,2124,خالده شفيق متعب,T
668,592,سهيله ماجد راغب,T
669,3996,لويده ججاإ غسهن,F
670,2123,جامع شماخ فائز,T
671,180,قابس رشيد هاشم,T
672,3948,فليح قدريقمعاد,F
673,4706,عبءافجميل لسود ااجر,F
674,786,ضرام سفيان وارف,T
675,3223,زبور مآيثهمتقا,F
676,3890,غزوان عراب تمهم,F
677,5876,عبذدم نكراةبإفة,F
678,3892,نجماكدين عدوان اكمل,F
679,5667,عيضه واصلؤجشءفن,F
